limit,timepoint,pitch,measured_b1,measured_b2,realb1,realb2
5400,0.09,130,103,741,60,80
5400,0.12,130,111,616,60,80
5400,0.15,130,90,119,60,80
5400,0.18,130,81,104,60,80
5400,0.21,130,78,100,60,80
5400,0.24,130,77,98,60,80
5400,0.27,130,76,98,60,80
5400,0.3,130,77,98,60,80
5300,0.03,130,78,102,60,80
5300,0.06,130,79,103,60,80
5300,0.09,130,81,105,60,80
5300,0.12,130,83,109,60,80
5300,0.15,130,89,118,60,80
5300,0.18,130,100,639,60,80
5300,0.21,130,106,666,60,80
5300,0.24,130,98,779,60,80
5300,0.27,130,87,115,60,80
5300,0.3,130,83,109,60,80
5200,0.03,130,83,111,60,80
5200,0.06,130,109,644,60,80
5200,0.09,130,87,116,60,80
5200,0.12,130,85,113,60,80
5200,0.15,130,88,118,60,80
5200,0.18,130,108,643,60,80
5200,0.21,130,89,121,60,80
5200,0.24,130,80,108,60,80
5200,0.27,130,79,105,60,80
5200,0.3,130,78,105,60,80
5100,0.03,130,104,693,60,80
5100,0.06,130,88,120,60,80
5100,0.09,130,87,118,60,80
5100,0.12,130,89,123,60,80
5100,0.15,130,101,747,60,80
5100,0.18,130,111,610,60,80
5100,0.21,130,88,122,60,80
5100,0.24,130,82,113,60,80
5100,0.27,130,80,110,60,80
5100,0.3,130,80,110,60,80
5500,0.03,140,24,51,60,80
5500,0.06,140,24,51,60,80
5500,0.09,140,25,54,60,80
5500,0.12,140,24,51,60,80
5500,0.15,140,24,51,60,80
5500,0.18,140,24,51,60,80
5500,0.21,140,26,54,60,80
5500,0.24,140,24,52,60,80
5500,0.27,140,25,52,60,80
5500,0.3,140,25,53,60,80
5400,0.03,140,27,57,60,80
5400,0.06,140,26,55,60,80
5400,0.09,140,25,54,60,80
5400,0.12,140,29,62,60,80
5400,0.15,140,25,53,60,80
5400,0.18,140,24,52,60,80
5400,0.21,140,24,52,60,80
5400,0.24,140,24,52,60,80
5400,0.27,140,25,53,60,80
5400,0.3,140,24,52,60,80
5300,0.03,140,24,53,60,80
5300,0.06,140,24,53,60,80
5300,0.09,140,24,52,60,80
5300,0.12,140,24,53,60,80
5300,0.15,140,24,52,60,80
5300,0.18,140,25,54,60,80
5300,0.21,140,25,55,60,80
5300,0.24,140,25,55,60,80
5300,0.27,140,25,55,60,80
5300,0.3,140,27,60,60,80
5200,0.03,140,25,54,60,80
5200,0.06,140,26,58,60,80
5200,0.09,140,24,53,60,80
5200,0.12,140,24,54,60,80
5200,0.15,140,24,54,60,80
5200,0.18,140,30,65,60,80
5200,0.21,140,24,54,60,80
5200,0.24,140,24,53,60,80
5200,0.27,140,25,54,60,80
5200,0.3,140,24,53,60,80
5100,0.03,140,25,56,60,80
5100,0.06,140,24,55,60,80
5100,0.09,140,24,54,60,80
5100,0.12,140,25,55,60,80
5100,0.15,140,26,58,60,80
5100,0.18,140,26,58,60,80
5100,0.21,140,24,55,60,80
5100,0.24,140,24,54,60,80
5100,0.27,140,25,55,60,80
5100,0.3,140,24,54,60,80
5500,0.03,150,76,128,60,80
5500,0.06,150,74,124,60,80
5500,0.09,150,93,962,60,80
5500,0.12,150,74,125,60,80
5500,0.15,150,73,123,60,80
5500,0.18,150,74,124,60,80
5500,0.21,150,78,132,60,80
5500,0.24,150,74,124,60,80
5500,0.27,150,76,128,60,80
5500,0.3,150,78,131,60,80
5400,0.03,150,77,132,60,80
5400,0.06,150,81,138,60,80
5400,0.09,150,88,551,60,80
5400,0.12,150,108,793,60,80
5400,0.15,150,78,133,60,80
5400,0.18,150,76,129,60,80
5400,0.21,150,76,129,60,80
5400,0.24,150,77,131,60,80
5400,0.27,150,76,131,60,80
5400,0.3,150,76,129,60,80
5300,0.03,150,78,136,60,80
5300,0.06,150,78,136,60,80
5300,0.09,150,78,135,60,80
5300,0.12,150,78,135,60,80
5300,0.15,150,80,138,60,80
5300,0.18,150,87,147,60,80
5300,0.21,150,95,1035,60,80
5300,0.24,150,86,147,60,80
5300,0.27,150,79,138,60,80
5300,0.3,150,78,135,60,80
5200,0.03,150,81,142,60,80
5200,0.06,150,102,903,60,80
5200,0.09,150,81,142,60,80
5200,0.12,150,80,142,60,80
5200,0.15,150,81,144,60,80
5200,0.18,150,92,860,60,80
5200,0.21,150,82,144,60,80
5200,0.24,150,81,143,60,80
5200,0.27,150,81,144,60,80
5200,0.3,150,81,143,60,80
5100,0.03,150,99,918,60,80
5100,0.06,150,84,152,60,80
5100,0.09,150,83,149,60,80
5100,0.12,150,84,150,60,80
5100,0.15,150,88,156,60,80
5100,0.18,150,106,836,60,80
5100,0.21,150,84,150,60,80
5100,0.24,150,84,151,60,80
5100,0.27,150,84,151,60,80
5100,0.3,150,84,150,60,80
5500,0.03,160,102,96,60,80
5500,0.06,160,102,94,60,80
5500,0.09,160,103,96,60,80
5500,0.12,160,101,89,60,80
5500,0.15,160,98,82,60,80
5500,0.18,160,100,86,60,80
5500,0.21,160,103,97,60,80
5500,0.24,160,94,74,60,80
5500,0.27,160,90,69,60,80
5500,0.3,160,90,69,60,80
5400,0.03,160,101,92,60,80
5400,0.06,160,103,98,60,80
5400,0.09,160,104,100,60,80
5400,0.12,160,104,100,60,80
5400,0.15,160,102,94,60,80
5400,0.18,160,99,84,60,80
5400,0.21,160,95,78,60,80
5400,0.24,160,94,75,60,80
5400,0.27,160,93,75,60,80
5400,0.3,160,94,76,60,80
5300,0.03,160,93,76,60,80
5300,0.06,160,97,83,60,80
5300,0.09,160,95,79,60,80
5300,0.12,160,101,90,60,80
5300,0.15,160,104,101,60,80
5300,0.18,160,103,98,60,80
5300,0.21,160,104,102,60,80
5300,0.24,160,103,98,60,80
5300,0.27,160,103,96,60,80
5300,0.3,160,100,88,60,80
5200,0.03,160,100,89,60,80
5200,0.06,160,105,105,60,80
5200,0.09,160,103,96,60,80
5200,0.12,160,101,91,60,80
5200,0.15,160,102,93,60,80
5200,0.18,160,105,103,60,80
5200,0.21,160,104,101,60,80
5200,0.24,160,98,85,60,80
5200,0.27,160,93,77,60,80
5200,0.3,160,92,75,60,80
5100,0.03,160,107,110,60,80
5100,0.06,160,104,98,60,80
5100,0.09,160,102,93,60,80
5100,0.12,160,103,95,60,80
5100,0.15,160,105,104,60,80
5100,0.18,160,107,110,60,80
5100,0.21,160,104,99,60,80
5100,0.24,160,98,86,60,80
5100,0.27,160,95,80,60,80
5100,0.3,160,93,78,60,80
5500,0.03,170,27,49,60,80
5500,0.06,170,27,48,60,80
5500,0.09,170,29,53,60,80
5500,0.12,170,27,48,60,80
5500,0.15,170,26,47,60,80
5500,0.18,170,27,47,60,80
5500,0.21,170,29,53,60,80
5500,0.24,170,26,47,60,80
5500,0.27,170,27,48,60,80
5500,0.3,170,27,48,60,80
5400,0.03,170,28,52,60,80
5400,0.06,170,29,53,60,80
5400,0.09,170,30,54,60,80
5400,0.12,170,35,1014,60,80
5400,0.15,170,28,51,60,80
5400,0.18,170,27,49,60,80
5400,0.21,170,27,48,60,80
5400,0.24,170,27,48,60,80
5400,0.27,170,27,48,60,80
5400,0.3,170,27,48,60,80
5300,0.03,170,27,50,60,80
5300,0.06,170,27,50,60,80
5300,0.09,170,27,50,60,80
5300,0.12,170,27,50,60,80
5300,0.15,170,27,51,60,80
5300,0.18,170,29,53,60,80
5300,0.21,170,31,56,60,80
5300,0.24,170,30,55,60,80
